City,Colors Reported,Shape Reported,State,Time,sightings,Year
Ithaca,,SpaceShip,NY,1930-06-01 22:00:00,1,1930
Willingboro,,OTHER,NJ,1930-06-30 20:00:00,1,1930
Holyoke,,OVAL,CO,1931-02-15 14:00:00,1,1931
Abilene,,DISK,KS,1931-06-01 13:00:00,1,1931
New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00,1,1933
Valley City,,DISK,ND,1934-09-15 15:30:00,1,1934
Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00,1,1935
Alma,,DISK,MI,1936-07-15 00:00:00,1,1936
Eklutna,,CIGAR,AK,1936-10-15 17:00:00,1,1936
Hubbard,,CYLINDER,OR,1937-06-15 00:00:00,1,1937
Fontana,,LIGHT,CA,1937-08-15 21:00:00,1,1937
Waterloo,,FIREBALL,AL,1939-06-01 20:00:00,1,1939
Belton,RED,SPHERE,SC,1939-06-30 20:00:00,1,1939
Keokuk,,OVAL,IA,1939-07-07 02:00:00,1,1939
Ludington,,DISK,MI,1941-06-01 13:00:00,1,1941
Forest Home,,CIRCLE,CA,1941-07-02 11:30:00,1,1941
Los Angeles,,LIGHT,CA,1942-02-25 00:00:00,1,1942
Hapeville,,LIGHT,GA,1942-06-01 22:30:00,1,1942
Oneida,,RECTANGLE,TN,1942-07-15 01:00:00,1,1942
Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00,1,1943
Nebraska,,DISK,NE,1943-06-01 15:00:00,1,1943
,,LIGHT,LA,1943-08-15 00:00:00,2,1943
,,LIGHT,LA,1943-08-15 00:00:00,2,1943
Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00,1,1943
Wilderness,,DISK,WV,1944-01-01 10:00:00,3,1944
San Diego,,CIGAR,CA,1944-01-01 12:00:00,3,1944
Wilderness,,DISK,WV,1944-01-01 12:00:00,3,1944
Clovis,,DISK,NM,1944-04-02 11:00:00,1,1944
Los Alamos,,DISK,NM,1944-06-01 12:00:00,1,1944
Ft. Duschene,,DISK,UT,1944-06-30 10:00:00,1,1944
South Kingstown,,SPHERE,RI,1944-07-01 20:00:00,1,1944
North Tampa,,CYLINDER,FL,1944-07-15 13:00:00,1,1944
Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00,1,1945
Salinas AFB,,DISK,CA,1945-06-01 12:00:00,2,1945
Jasper,,FIREBALL,FL,1945-06-01 13:30:00,2,1945
Winston-Salem,,DISK,NC,1945-06-07 07:00:00,1,1945
Portsmouth,RED,FORMATION,VA,1945-07-10 01:30:00,1,1945
Dallas,,SPHERE,TX,1945-07-15 14:00:00,1,1945
Huntington Beach,,DISK,CA,1945-08-08 12:00:00,1,1945
San Antonio,,OVAL,NM,1945-08-16 11:30:00,1,1945
Roswell,,SPHERE,NM,1945-12-15 02:00:00,1,1945
New York City,,DISK,NY,1946-01-08 02:00:00,1,1946
Merced,,SPHERE,CA,1946-02-01 17:00:00,1,1946
Alice,,DISK,TX,1946-03-15 15:30:00,1,1946
Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00,2,1946
Index,,FIREBALL,WA,1946-06-30 21:00:00,2,1946
South Portland,,OVAL,ME,1946-07-01 13:30:00,1,1946
Oak Lawn,,FORMATION,IL,1946-09-12 00:00:00,1,1946
Dome,,FLASH,AZ,1946-09-30 20:30:00,1,1946
Conroe,,OTHER,TX,1947-01-10 20:00:00,1,1947
Syracuse,,DISK,NY,1947-02-20 22:15:00,1,1947
Miami,,OTHER,FL,1947-04-15 14:00:00,2,1947
San Deigo,,SpaceShip,CA,1947-04-15 23:00:00,2,1947
Minden,,LIGHT,LA,1947-06-01 00:00:00,4,1947
Cleveland,,LIGHT,OH,1947-06-01 02:30:00,4,1947
Espanola,,CIRCLE,NM,1947-06-01 17:00:00,4,1947
Oroville,,LIGHT,CA,1947-06-01 18:00:00,4,1947
Oakmont,,LIGHT,PA,1947-06-13 20:18:00,1,1947
Winona,,DISK,MN,1947-06-15 10:00:00,3,1947
Gackle,,OTHER,ND,1947-06-15 14:00:00,3,1947
Madison,,DISK,WI,1947-06-15 18:00:00,3,1947
Hayward,,CIRCLE,CA,1947-06-20 12:00:00,1,1947
Tacoma,,OTHER,WA,1947-06-30 00:00:00,2,1947
